id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;INCOMP::S800;air
0x7fa8b6e7f080;fresh air;out1;compressor train_inlet;in3;256.87934347727537;kg / s;1.0;bar;419.4080704572207;kJ / kg;20.0;C;nan;nan;0;1
0x7fa8b6e7f9e8;compressor train_outlet;out3;after cooler;in1;256.87934347727537;kg / s;57.72005772005771;bar;430.07071713249786;kJ / kg;41.39841658868545;C;nan;nan;0;1
0x7fa8b6e7fb70;after cooler;out1;cas;in1;256.87934347727537;kg / s;57.14285714285714;bar;412.2717030043838;kJ / kg;24.999999999995737;C;nan;nan;0;1
0x7fa8c64b79e8;cold reservoir;out1;compressor train_inlet;in1;417.40036297561335;kg / s;10.0;bar;16.856579442031855;kJ / kg;30.0;C;nan;nan;1;0
0x7fa8b6e63be0;compressor train_outlet;out1;hot reservoir;in1;417.40036297561335;kg / s;8.0;bar;366.3408639645221;kJ / kg;225.2005854931105;C;nan;nan;1;0
0x7fa8b6e636d8;source;out1;compressor train_inlet;in2;0.0;kg / s;8.0;bar;16.704114858722548;kJ / kg;30.0;C;nan;nan;1;0
0x7fa8b6e63438;compressor train_outlet;out2;sink;in1;0.0;kg / s;10.0;bar;16.856579442031855;kJ / kg;30.0;C;nan;nan;1;0
0x7fa8b6eac7b8;compressor train_inlet;out1;compressor train_splitter_0;in1;417.40036297561335;kg / s;10.0;bar;16.856579442031855;kJ / kg;30.0;C;nan;nan;1;0
0x7fa8b6f147b8;compressor train_merge_0;out1;compressor train_outlet;in1;417.40036297561335;kg / s;8.0;bar;366.3408639645221;kJ / kg;225.2005854931105;C;nan;nan;1;0
0x7fa8b6f02550;compressor train_inlet;out3;compressor train_compressor_0;in1;256.87934347727537;kg / s;1.0;bar;419.4080704572207;kJ / kg;20.0;C;nan;nan;0;1
0x7fa8b6eacef0;compressor train_compressor_0;out1;compressor train_heat exchanger_0;in1;256.87934347727526;kg / s;5.0;bar;621.643762413622;kJ / kg;219.5304896112733;C;nan;nan;0;1
0x7fa8b6eb6668;compressor train_splitter_0;out1;compressor train_heat exchanger_0;in2;156.59137203112692;kg / s;10.0;bar;16.856579442031855;kJ / kg;30.0;C;nan;nan;1;0
0x7fa8b6ec4668;compressor train_heat exchanger_0;out2;compressor train_vessel_0;in1;156.59137203112692;kg / s;9.956674363246986;bar;317.68242626074976;kJ / kg;200.0;C;nan;nan;1;0
0x7fa8b6ec4f98;compressor train_vessel_0;out1;compressor train_merge_0;in2;156.59137203112692;kg / s;8.0;bar;317.68242626074976;kJ / kg;200.05541754128063;C;nan;nan;1;0
0x7fa8b6ec44e0;compressor train_splitter_0;out2;compressor train_splitter_1;in1;260.8089909444864;kg / s;10.0;bar;16.856579442031855;kJ / kg;30.0;C;nan;nan;1;0
0x7fa8b6e58668;compressor train_merge_1;out1;compressor train_merge_0;in1;260.8089909444864;kg / s;8.0;bar;395.5556985196185;kJ / kg;240.0403176730075;C;nan;nan;1;0
0x7fa8b6e587f0;compressor train_heat exchanger_0;out1;compressor train_compressor_1;in1;256.87934347727537;kg / s;4.995691421372073;bar;438.2629912776357;kJ / kg;39.55338732470574;C;nan;nan;0;1
0x7fa8b6e58978;compressor train_compressor_1;out1;compressor train_heat exchanger_1;in1;256.87934347727526;kg / s;57.782762522902914;bar;814.5630386294528;kJ / kg;402.7231115618986;C;nan;nan;0;1
0x7fa8b6e58b00;compressor train_splitter_1;out1;compressor train_heat exchanger_1;in2;260.8089909444863;kg / s;10.0;bar;16.856579442031855;kJ / kg;30.0;C;nan;nan;1;0
0x7fa8b6e58c88;compressor train_heat exchanger_1;out2;compressor train_vessel_1;in1;260.8089909444864;kg / s;9.963299752195223;bar;395.5556985196185;kJ / kg;240.0000000000001;C;nan;nan;1;0
0x7fa8b6e58e10;compressor train_vessel_1;out1;compressor train_merge_1;in2;260.8089909444864;kg / s;8.0;bar;395.5556985196185;kJ / kg;240.0403176730075;C;nan;nan;1;0
0x7fa8b6e58f98;compressor train_splitter_1;out2;compressor train_outlet;in2;0.0;kg / s;10.0;bar;16.856579442031855;kJ / kg;30.0;C;nan;nan;1;0
0x7fa8b6e58f60;compressor train_inlet;out2;compressor train_merge_1;in1;0.0;kg / s;8.0;bar;16.704114858722548;kJ / kg;30.0;C;nan;nan;1;0
0x7fa8b6e632e8;compressor train_heat exchanger_1;out1;compressor train_outlet;in3;256.87934347727537;kg / s;57.72005772005771;bar;430.07071713249786;kJ / kg;41.39841658868545;C;nan;nan;0;1
