id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;INCOMP::S800;air
0x7f9a74b68048;fresh air;out1;compressor train_inlet;in3;197.5994949825195;kg / s;1.0;bar;419.40807045722073;kJ / kg;20.0;C;nan;nan;0;1
0x7f9a74b688d0;compressor train_outlet;out3;after cooler;in1;197.5994949825195;kg / s;44.73304473304473;bar;436.8823115627782;kJ / kg;45.56693091450262;C;nan;nan;0;1
0x7f9a74b68a58;after cooler;out1;cas;in1;197.5994949825195;kg / s;44.285714285714285;bar;414.9301614867722;kJ / kg;24.999999999994543;C;nan;nan;0;1
0x7f9a8419f9b0;cold reservoir;out1;compressor train_inlet;in1;289.40973466554857;kg / s;10.0;bar;16.85657944203185;kJ / kg;30.0;C;nan;nan;1;0
0x7f9a74b4dcc0;compressor train_outlet;out1;hot reservoir;in1;289.4097346655485;kg / s;8.0;bar;362.92339238201043;kJ / kg;223.45231616401213;C;nan;nan;1;0
0x7f9a74b4d160;source;out1;compressor train_inlet;in2;0.0;kg / s;8.0;bar;16.704114858722548;kJ / kg;30.0;C;nan;nan;1;0
0x7f9a74b4d828;compressor train_outlet;out2;sink;in1;0.0;kg / s;10.0;bar;16.85657944203185;kJ / kg;30.0;C;nan;nan;1;0
0x7f9a74b98748;compressor train_inlet;out1;compressor train_splitter_0;in1;289.40973466554857;kg / s;10.0;bar;16.85657944203185;kJ / kg;30.0;C;nan;nan;1;0
0x7f9a74b424a8;compressor train_merge_0;out1;compressor train_outlet;in1;289.4097346655485;kg / s;8.0;bar;362.92339238201043;kJ / kg;223.45231616401213;C;nan;nan;1;0
0x7f9a74b42630;compressor train_inlet;out3;compressor train_compressor_0;in1;197.5994949825195;kg / s;1.0;bar;419.40807045722073;kJ / kg;20.0;C;nan;nan;0;1
0x7f9a74b98e80;compressor train_compressor_0;out1;compressor train_heat exchanger_0;in1;197.5994949825195;kg / s;5.0;bar;621.643762413622;kJ / kg;219.5304896112733;C;nan;nan;0;1
0x7f9a74baf710;compressor train_splitter_0;out1;compressor train_heat exchanger_0;in2;121.27868101315592;kg / s;10.0;bar;16.85657944203185;kJ / kg;30.0;C;nan;nan;1;0
0x7f9a74baf898;compressor train_heat exchanger_0;out2;compressor train_vessel_0;in1;121.27868101315592;kg / s;9.974011678805432;bar;317.683366041549;kJ / kg;200.0;C;nan;nan;1;0
0x7f9a74baf5c0;compressor train_vessel_0;out1;compressor train_merge_0;in2;121.27868101315592;kg / s;8.0;bar;317.683366041549;kJ / kg;200.0559085620468;C;nan;nan;1;0
0x7f9a74ba2940;compressor train_splitter_0;out2;compressor train_splitter_1;in1;168.13105365239264;kg / s;10.0;bar;16.85657944203185;kJ / kg;30.0;C;nan;nan;1;0
0x7f9a74ba23c8;compressor train_merge_1;out1;compressor train_merge_0;in1;168.13105365239264;kg / s;8.0;bar;395.5565711100466;kJ / kg;240.0407581246127;C;nan;nan;1;0
0x7f9a74b42860;compressor train_heat exchanger_0;out1;compressor train_compressor_1;in1;197.5994949825195;kg / s;4.997454855154862;bar;437.0082910757874;kJ / kg;38.314654412024026;C;nan;nan;0;1
0x7f9a74b429e8;compressor train_compressor_1;out1;compressor train_heat exchanger_1;in1;197.5994949825195;kg / s;44.77847960876659;bar;759.1059519770832;kJ / kg;351.2771764165435;C;nan;nan;0;1
0x7f9a74b42b70;compressor train_splitter_1;out1;compressor train_heat exchanger_1;in2;168.13105365239264;kg / s;10.0;bar;16.85657944203185;kJ / kg;30.0;C;nan;nan;1;0
0x7f9a74b42cf8;compressor train_heat exchanger_1;out2;compressor train_vessel_1;in1;168.13105365239264;kg / s;9.984748247530884;bar;395.5565711100466;kJ / kg;240.00000000000023;C;nan;nan;1;0
0x7f9a74b42e80;compressor train_vessel_1;out1;compressor train_merge_1;in2;168.13105365239264;kg / s;8.0;bar;395.5565711100466;kJ / kg;240.0407581246127;C;nan;nan;1;0
0x7f9a74b42828;compressor train_splitter_1;out2;compressor train_outlet;in2;0.0;kg / s;10.0;bar;16.85657944203185;kJ / kg;30.0;C;nan;nan;1;0
0x7f9a74b4d1d0;compressor train_inlet;out2;compressor train_merge_1;in1;0.0;kg / s;8.0;bar;16.704114858722548;kJ / kg;30.0;C;nan;nan;1;0
0x7f9a74b4d358;compressor train_heat exchanger_1;out1;compressor train_outlet;in3;197.5994949825195;kg / s;44.73304473304473;bar;436.8823115627782;kJ / kg;45.56693091450262;C;nan;nan;0;1
